moeda,valor_brl,fonte,coletado_em
USD,5.2428,api,30/03/2026 20:08:04
EUR,6.0434,api,30/03/2026 20:08:04
GBP,6.9757,api,30/03/2026 20:08:04
ARS,0.0038,api,30/03/2026 20:08:04
